name,sale,lot,position,dealer,year,origin_author,origin_cat,school_pntg,diff_origin,logprice,price,count,subject,authorstandard,artistliving,authorstyle,author,winningbidder,winningbiddertype,endbuyer,Interm,type_intermed,Height_in,Width_in,Surface_Rect,Diam_in,Surface_Rnd,Shape,Surface,material,mat,materialCat,quantity,nfigures,engraved,original,prevcoll,othartist,paired,figures,finished,lrgfont,relig,landsALL,lands_sc,lands_elem,lands_figs,lands_ment,arch,mytho,peasant,othgenre,singlefig,portrait,still_life,discauth,history,allegory,pastorale,other
L1764-2,L1764,2,0.032786885,L,1764,F,O,F,1,5.886104031,360,1,L'enfant Jesus,"Grimou, Alexis",0,n/a,Grimou,Unknown,,,,,37,29.5,1091.5,,,squ_rect,1091.5,tableau,ta,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-3,L1764,3,0.049180328,L,1764,I,O,I,1,1.791759469,6,1,Homme portant un panier,"Fetti, Domenico",0,n/a,Fty,Unknown,,,,,18,14,252,,,squ_rect,252,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L1764-4,L1764,4,0.06557377,L,1764,X,O,D/FL,1,2.48490665,12,1,L'enfant Jesus & Saint Jean,"copy after Dyck, Sir Anthony van",0,copy after,copi d'aprs Wandeik,Unknown,,,,,13,16,208,,,squ_rect,208,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L1764-5a,L1764,5,0.081967213,L,1764,F,O,F,1,1.791759469,6,1,(2) Paysages & figures,"Hrault, Charles-Antoine",0,n/a,Hrault,Unknown,,,,,14,18,252,,,squ_rect,252,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-5b,L1764,5,0.081967213,L,1764,F,O,F,1,1.791759469,6,1,(2) Paysages & figures,"Hrault, Charles-Antoine",0,n/a,Hrault,Unknown,,,,,14,18,252,,,squ_rect,252,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-6,L1764,6,0.098360656,L,1764,X,O,I,1,2.197224577,9,1,L'amour qui dort sur un lit,"copy after Albani, Francesco",0,copy after,copi d'aprs l'Albanne,Unknown,,,,,7,10,70,,,squ_rect,70,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-7a,L1764,7,0.114754098,L,1764,F,O,F,1,2.48490665,12,1,(2) Venus qui retient Adonis; la mort d'Adonis,"Loir, Nicolas-Pierre",0,n/a,Nicolas Loire,Unknown,,,,,6,13,78,,,squ_rect,78,toile colls sur bois,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-7b,L1764,7,0.114754098,L,1764,F,O,F,1,2.48490665,12,1,(2) Venus qui retient Adonis; la mort d'Adonis,"Loir, Nicolas-Pierre",0,n/a,Nicolas Loire,Unknown,,,,,6,13,78,,,squ_rect,78,toile colls sur bois,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-8,L1764,8,0.131147541,L,1764,X,O,I,1,3.17805383,24,1,Dana,"copy after Caliari (Veronese), Paolo",0,copy after,copi d'aprs Paul Veronese,Unknown,,,,,15,15,225,,,squ_rect,225,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-9a,L1764,9,0.147540984,L,1764,D/FL,O,D/FL,1,1.791759469,6,1,(2) Ttes de Vieillards marchant; tenant un pot,"Rijckaert III, David",0,n/a,Rikaers,Unknown,,,,,9,7,63,,,squ_rect,63,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
